timestamp,value
0,0.5
1,0.4991637
2,0.4983274
3,0.4974911
4,0.4966548
5,0.4958185
6,0.4949822
7,0.4941459
8,0.4933096
9,0.4924733
10,0.491637
11,0.4908007
12,0.4899644
13,0.4891281
14,0.4882918
15,0.4874555
16,0.4866192
17,0.4857829
18,0.4849466
19,0.4841103
20,0.483274
21,0.4824377
22,0.4816014
23,0.4807651
24,0.4799288
25,0.4790925
26,0.4782562
27,0.4774199
28,0.4765836
29,0.4757473
30,0.47491099999999997
31,0.4740747
32,0.4732384
33,0.4724021
34,0.4715658
35,0.4707295
36,0.4698932
37,0.4690569
38,0.4682206
39,0.4673843
40,0.466548
41,0.4657117
42,0.4648754
43,0.4640391
44,0.4632028
45,0.4623665
46,0.4615302
47,0.4606939
48,0.4598576
49,0.4590213
50,0.458185
51,0.4573487
52,0.4565124
53,0.45567610000000003
54,0.4548398
55,0.4540035
56,0.4531672
57,0.4523309
58,0.4514946
59,0.4506583
60,0.449822
61,0.4489857
62,0.44814940000000003
63,0.4473131
64,0.4464768
65,0.4456405
66,0.4448042
67,0.44396789999999997
68,0.4431316
69,0.4422953
70,0.441459
71,0.4406227
72,0.4397864
73,0.4389501
74,0.4381138
75,0.4372775
76,0.4364412
77,0.4356049
78,0.4347686
79,0.4339323
80,0.433096
81,0.4322597
82,0.4314234
83,0.4305871
84,0.4297508
85,0.4289145
86,0.4280782
87,0.4272419
88,0.4264056
89,0.4255693
90,0.424733
91,0.4238967
92,0.4230604
93,0.4222241
94,0.4213878
95,0.42055149999999997
96,0.4197152
97,0.4188789
98,0.4180426
99,0.41720630000000003
100,0.41637
101,0.4155337
102,0.4146974
103,0.4138611
104,0.41302479999999997
105,0.4121885
106,0.4113522
107,0.4105159
108,0.40967960000000003
109,0.4088433
110,0.408007
111,0.4071707
112,0.4063344
113,0.4054981
114,0.4046618
115,0.4038255
116,0.4029892
117,0.4021529
118,0.4013166
119,0.4004803
120,0.399644
121,0.3988077
122,0.3979714
123,0.3971351
124,0.3962988
125,0.3954625
126,0.3946262
127,0.3937899
128,0.3929536
129,0.3921173
130,0.391281
131,0.3904447
132,0.38960839999999997
133,0.3887721
134,0.3879358
135,0.3870995
136,0.38626320000000003
137,0.3854269
138,0.3845906
139,0.3837543
140,0.382918
141,0.5
142,0.5
143,0.5
144,0.5
145,0.5
146,0.5
147,0.5
148,0.5
149,0.5
150,0.5
151,0.5
152,0.5
153,0.5
154,0.5
155,0.5
156,0.5
157,0.5
158,0.5
159,0.5
160,0.5
161,0.5
162,0.5
163,0.5
164,0.5
165,0.5
166,0.5
167,0.5
168,0.5
169,0.5
170,0.5
171,0.5
172,0.5
173,0.5
174,0.5
175,0.5
176,0.5
