filename,base_epsilon,compression_ratio_base_only,compression_ratio,compression_time,decompression_time,rmse,inference_time,dataset,dimension,model,preprocessing,window_length,cycles,batch_size,split,compressed
BeijingPM10Quality_TEST_dim2_INTERPOLATION_e0_eb256.0_decompressed.csv,256.0,22.15691992008208,6.602581018890999,868.0,321.0,1695.9598392393534,2.0283522999379784,BeijingPM10Quality,2,InceptionTime,INTERPOLATION,100,50,16,test,True
BeijingPM10Quality_TEST_dim2_INTERPOLATION_e0_eb32.0_decompressed.csv,32.0,11.420412480169222,8.561794470526864,1097.0,318.0,1702.3227082587268,2.043659400078468,BeijingPM10Quality,2,InceptionTime,INTERPOLATION,100,50,16,test,True
BeijingPM10Quality_TEST_dim2_INTERPOLATION_e0_eb64.0_decompressed.csv,64.0,12.384148733890685,8.110131636162391,911.0,306.0,1700.85942784978,2.2540941999759525,BeijingPM10Quality,2,InceptionTime,INTERPOLATION,100,50,16,test,True
data/BeijingPM10Quality_TRAIN_dim2_INTERPOLATION.csv,,,,,,1671.4500732421875,52.75138000003062,BeijingPM10Quality,2,MLP,INTERPOLATION,100,50,16,train,False
data/BeijingPM10Quality_TEST_dim2_INTERPOLATION.csv,0.0,1.0,1.0,0.0,0.0,1589.927271809243,0.1372810999164357,BeijingPM10Quality,2,MLP,INTERPOLATION,100,50,16,test,False
BeijingPM10Quality_TEST_dim2_INTERPOLATION_e0_eb128.0_decompressed.csv,128.0,15.068821153139918,7.607750069528135,940.0,300.0,1586.3410916998355,0.1259391000494361,BeijingPM10Quality,2,MLP,INTERPOLATION,100,50,16,test,True
BeijingPM10Quality_TEST_dim2_INTERPOLATION_e0_eb256.0_decompressed.csv,256.0,22.15691992008208,6.602581018890999,722.0,618.0,1581.0918765047024,0.1283852000487968,BeijingPM10Quality,2,MLP,INTERPOLATION,100,50,16,test,True
BeijingPM10Quality_TEST_dim2_INTERPOLATION_e0_eb32.0_decompressed.csv,32.0,11.420412480169222,8.561794470526864,980.0,199.0,1588.7647968355611,0.1269521000795066,BeijingPM10Quality,2,MLP,INTERPOLATION,100,50,16,test,True
BeijingPM10Quality_TEST_dim2_INTERPOLATION_e0_eb64.0_decompressed.csv,64.0,12.384148733890685,8.110131636162391,1022.0,321.0,1587.4261370540023,0.1263732999796047,BeijingPM10Quality,2,MLP,INTERPOLATION,100,50,16,test,True
data/BeijingPM10Quality_TRAIN_dim3_INTERPOLATION.csv,,,,,,43.40983963012695,640.365762499976,BeijingPM10Quality,3,InceptionTime,INTERPOLATION,100,50,16,train,False
data/BeijingPM10Quality_TEST_dim3_INTERPOLATION.csv,0.0,1.0,1.0,0.0,0.0,37.59006783036809,2.111110199941322,BeijingPM10Quality,3,InceptionTime,INTERPOLATION,100,50,16,test,False
BeijingPM10Quality_TEST_dim3_INTERPOLATION_e0_eb2.0_decompressed.csv,2.0,10.564016972716214,7.72347217516517,897.0,348.0,37.75232241015605,2.1464484001044184,BeijingPM10Quality,3,InceptionTime,INTERPOLATION,100,50,16,test,True
BeijingPM10Quality_TEST_dim3_INTERPOLATION_e0_eb4.0_decompressed.csv,4.0,11.98991617357002,7.274442051097948,864.0,173.0,39.248520392144414,2.055832599988207,BeijingPM10Quality,3,InceptionTime,INTERPOLATION,100,50,16,test,True
BeijingPM10Quality_TEST_dim3_INTERPOLATION_e0_eb8.0_decompressed.csv,8.0,15.04550985892253,6.858337564167654,917.0,162.0,44.59761257393753,1.970262800110504,BeijingPM10Quality,3,InceptionTime,INTERPOLATION,100,50,16,test,True
data/BeijingPM10Quality_TRAIN_dim3_INTERPOLATION.csv,,,,,,46.20612716674805,57.76030780002475,BeijingPM10Quality,3,MLP,INTERPOLATION,100,50,16,train,False
data/BeijingPM10Quality_TEST_dim3_INTERPOLATION.csv,0.0,1.0,1.0,0.0,0.0,43.48596214578256,0.1655158000066876,BeijingPM10Quality,3,MLP,INTERPOLATION,100,50,16,test,False
BeijingPM10Quality_TEST_dim3_INTERPOLATION_e0_eb2.0_decompressed.csv,2.0,10.564016972716214,7.72347217516517,1095.0,336.0,43.22512140760032,0.1307566000614315,BeijingPM10Quality,3,MLP,INTERPOLATION,100,50,16,test,True
BeijingPM10Quality_TEST_dim3_INTERPOLATION_e0_eb4.0_decompressed.csv,4.0,11.98991617357002,7.274442051097948,1023.0,180.0,44.71501846815188,0.1264535000082105,BeijingPM10Quality,3,MLP,INTERPOLATION,100,50,16,test,True
BeijingPM10Quality_TEST_dim3_INTERPOLATION_e0_eb8.0_decompressed.csv,8.0,15.04550985892253,6.858337564167654,911.0,287.0,49.89810415138531,0.1307259999448433,BeijingPM10Quality,3,MLP,INTERPOLATION,100,50,16,test,True
data/HouseholdPowerConsumption1_TRAIN_dim0_INTERPOLATION.csv,,,,,,2.953852891921997,757.7614589000004,HouseholdPowerConsumption1,0,FCN,INTERPOLATION,100,50,16,train,False
data/HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION.csv,0.0,1.0,1.0,0.0,0.0,3.479448242655784,4.599636800005101,HouseholdPowerConsumption1,0,FCN,INTERPOLATION,100,50,16,test,False
HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION_e0_eb16.0_decompressed.csv,16.0,233817.8095238096,13.24893351213813,1319.0,1171.0,0.9484327894251822,3.8892173999920487,HouseholdPowerConsumption1,0,FCN,INTERPOLATION,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION_e0_eb32.0_decompressed.csv,32.0,377705.6923076923,13.939075246574731,1476.0,1402.0,16.136062622070312,3.7241361000051256,HouseholdPowerConsumption1,0,FCN,INTERPOLATION,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION_e0_eb4.0_decompressed.csv,4.0,735.0559880239521,5.433146997379789,1765.0,1343.0,3.2160516414473497,4.296023800008697,HouseholdPowerConsumption1,0,FCN,INTERPOLATION,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION_e0_eb8.0_decompressed.csv,8.0,5306.384005763689,6.364781064475151,1512.0,1684.0,2.825507383587161,4.041732099984074,HouseholdPowerConsumption1,0,FCN,INTERPOLATION,100,50,16,test,True
data/HouseholdPowerConsumption1_TRAIN_dim0_INTERPOLATION.csv,,,,,,2.9584555625915527,2759.6699615999823,HouseholdPowerConsumption1,0,InceptionTime,INTERPOLATION,100,50,16,train,False
data/HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION.csv,0.0,1.0,1.0,0.0,0.0,3.4862364741953926,28.14287510002032,HouseholdPowerConsumption1,0,InceptionTime,INTERPOLATION,100,50,16,test,False
HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION_e0_eb16.0_decompressed.csv,16.0,233817.8095238096,13.24893351213813,1402.0,1906.0,0.951153253369836,26.109602199983783,HouseholdPowerConsumption1,0,InceptionTime,INTERPOLATION,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION_e0_eb32.0_decompressed.csv,32.0,377705.6923076923,13.939075246574731,1505.0,1474.0,16.14862060546875,31.374995699967258,HouseholdPowerConsumption1,0,InceptionTime,INTERPOLATION,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION_e0_eb4.0_decompressed.csv,4.0,735.0559880239521,5.433146997379789,1724.0,1349.0,3.222361063133603,29.092853800044395,HouseholdPowerConsumption1,0,InceptionTime,INTERPOLATION,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_INTERPOLATION_e0_eb8.0_decompressed.csv,8.0,5306.384005763689,6.364781064475151,1880.0,1766.0,2.830164262860627,27.757269600057043,HouseholdPowerConsumption1,0,InceptionTime,INTERPOLATION,100,50,16,test,True
data/HouseholdPowerConsumption1_TRAIN_dim0_KNN.csv,,,,,,2.955251693725586,2853.737341200001,HouseholdPowerConsumption1,0,InceptionTime,KNN,100,50,16,train,False
data/HouseholdPowerConsumption1_TEST_dim0_KNN.csv,0.0,1.0,1.0,0.0,0.0,3.468719235085886,22.77084080001805,HouseholdPowerConsumption1,0,InceptionTime,KNN,100,50,16,test,False
HouseholdPowerConsumption1_TEST_dim0_KNN_e0_eb16.0_decompressed.csv,16.0,233713.2063492064,13.99854157416818,1871.0,1439.0,0.949245700167556,21.43055240006652,HouseholdPowerConsumption1,0,InceptionTime,KNN,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_KNN_e0_eb32.0_decompressed.csv,32.0,377536.71794871794,14.796330444866731,2220.0,1290.0,16.139892578125,20.793950599967506,HouseholdPowerConsumption1,0,InceptionTime,KNN,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_KNN_e0_eb4.0_decompressed.csv,4.0,734.9105066134265,5.4786010228704,1794.0,1335.0,3.200435812783686,22.968570500030182,HouseholdPowerConsumption1,0,InceptionTime,KNN,100,50,16,test,True
HouseholdPowerConsumption1_TEST_dim0_KNN_e0_eb8.0_decompressed.csv,8.0,5304.010086455332,6.476020492538732,1751.0,1616.0,2.8269229447820043,22.089768799953163,HouseholdPowerConsumption1,0,InceptionTime,KNN,100,50,16,test,True
data/HouseholdPowerConsumption1_TRAIN_dim0_MEAN.csv,,,,,,2.9546046257019043,3071.3167592999525,HouseholdPowerConsumption1,0,InceptionTime,MEAN,100,50,16,train,False
data/HouseholdPowerConsumption1_TEST_dim0_MEAN.csv,0.0,1.0,1.0,0.0,0.0,3.5568213221390503,28.36308439995628,HouseholdPowerConsumption1,0,InceptionTime,MEAN,100,50,16,test,False
HouseholdPowerConsumption1_TEST_dim0_MEAN_e0_eb16.0_decompressed.csv,16.0,231899.253968254,13.890632205164092,1287.0,1518.0,0.9488681775879004,26.013281799969263,HouseholdPowerConsumption1,0,InceptionTime,MEAN,100,50,16,test,True
